epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.4024180619447839	0.16933689415454864	0.51	0.966219342896807	0.7677783659784718	0.8952674897119342	0.8266362686425383	0.9759110750353956	0.605536639768759	0.9968763944667559	0.981042654028436	0.9857142857142858	0.9833729216152018	0.99989683711988	0.9990358217741689	blended_score	0.9850431383477958	6496	270	1848	70	0.88125	0.4155405405405405	0.9743589743589743	0.967741935483871	0.9743589743589743	0.9850431383477958
2	0.09291606443915881	0.03608213309198618	0.55	0.9566867191115225	0.750198570293884	0.7773662551440329	0.7635408245755861	0.9790218354336347	0.6483505061041778	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7614583333333333	0.46621621621621623	1.0	1.0	1.0	1.0
3	0.031011778427580117	0.028130780206993222	0.23	0.954909763998149	0.7447495961227787	0.7588477366255144	0.751732572360375	0.9802196433526308	0.6716437317187156	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999976553890882	0.9999774317309862	blended_score	0.9919241997364608	6496	270	1848	70	0.775	0.4650900900900901	1.0	0.967741935483871	0.9873417721518988	0.9919241997364608
4	0.015885054923630522	0.012771764909848571	0.35000000000000003	0.9554095326237853	0.748933577087142	0.758641975308642	0.7537565164060104	0.9816458561683823	0.704210339808006	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.765625	0.45382882882882886	1.0	1.0	1.0	1.0
5	0.008332827418366922	0.011429305153433234	0.32	0.955168903285516	0.7486740106079152	0.7551440329218106	0.7518951034624053	0.9828349988009637	0.7353004152183725	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7489583333333333	0.4594594594594595	1.0	1.0	1.0	1.0
6	0.004092212864563015	0.006790926610119641	0.22	0.9555205923183712	0.7486338797814208	0.7611111111111111	0.7548209366391184	0.9825783966729986	0.7265900628366925	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	blended_score	1.0	6496	270	1848	70	0.7458333333333333	0.4583333333333333	1.0	1.0	1.0	1.0
