epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.585300546650793	0.33911763727664945	0.35000000000000003	0.9735122628412772	0.777292576419214	0.9888888888888889	0.8704156479217604	0.9773467252917969	0.6184518562804082	0.9888442659526997	0.9004329004329005	0.9904761904761905	0.9433106575963719	0.9983189139762256	0.9815741045556301	blended_score	0.9020773748584602	6496	270	1848	70	0.984375	0.3918918918918919	1.0	0.6451612903225806	0.8764044943820225	0.9020773748584602
2	0.22678697248007737	0.13895836621522903	0.16	0.9621286441462286	0.7625979843225084	0.8407407407407408	0.7997651203758074	0.9799755421715487	0.6584228499610539	0.9959839357429718	0.9674418604651163	0.9904761904761905	0.9788235294117648	0.9997913296288481	0.9979896269596471	blended_score	0.9748012650927268	6496	270	1848	70	0.825	0.4358108108108108	1.0	0.9032258064516129	0.9629629629629629	0.9748012650927268
3	0.08750657680645293	0.11113809756934642	0.31	0.951466913465988	0.7437908496732026	0.7024691358024692	0.7225396825396826	0.9812572847206789	0.6958366881322251	0.9964301651048639	0.9764150943396226	0.9857142857142858	0.981042654028436	0.9998077419052309	0.9981591576441105	blended_score	0.9829505465639907	6496	270	1848	70	0.7	0.46734234234234234	1.0	0.9354838709677419	0.975	0.9829505465639907
4	0.04314931818996282	0.12743277288973331	0.5	0.9520407218880148	0.7503862282056941	0.6995884773662552	0.7240975401980619	0.9823532059467175	0.7165801214456057	0.9968763944667559	0.9903381642512077	0.9761904761904762	0.9832134292565947	0.9998382218470845	0.9984337127559616	blended_score	0.9766775677096599	6496	270	1848	70	0.696875	0.5067567567567568	0.9743589743589743	0.9354838709677419	0.9620253164556962	0.9766775677096599
5	0.0248928355719602	0.12147221565246583	0.23	0.9525775104118464	0.7496740547588006	0.7098765432098766	0.7292327203551047	0.9827514366463144	0.7319857515796387	0.9973226238286479	0.9811320754716981	0.9904761904761905	0.985781990521327	0.9998171203488782	0.9981920197672063	blended_score	0.9829669776255386	6496	270	1848	70	0.7125	0.4988738738738739	1.0	0.9354838709677419	0.975	0.9829669776255386
6	0.01793588840347879	0.11688889283686876	0.33	0.9526330402591393	0.7496203080928618	0.7109053497942387	0.729749709578625	0.9822964808599914	0.7241471045045157	0.9973226238286479	0.9903846153846154	0.9809523809523809	0.9856459330143541	0.9998241541816136	0.9982663454743835	blended_score	0.9765938840688708	6496	270	1848	70	0.6947916666666667	0.49774774774774777	0.9743589743589743	0.9354838709677419	0.9620253164556962	0.9765938840688708
7	0.011531861535474365	0.09578385669738054	0.02	0.9541138361869504	0.7515317980139447	0.7318930041152263	0.7415824038361305	0.9829810029132605	0.7409906972380418	0.99776885319054	0.9812206572769953	0.9952380952380953	0.9881796690307328	0.9999320062835573	0.9993470542680336	blended_score	0.9835444948759523	6496	270	1848	70	0.7208333333333333	0.46621621621621623	1.0	0.9354838709677419	0.975	0.9835444948759523
8	0.007611070143278031	0.11533997124060988	0.11	0.9521888014807959	0.7499451152579583	0.702880658436214	0.7256505576208179	0.9821730198847501	0.7202279890962704	0.99776885319054	0.985781990521327	0.9904761904761905	0.9881235154394299	0.9999015263417036	0.9990282736517981	blended_score	0.9833851045678346	6496	270	1848	70	0.7010416666666667	0.5112612612612613	1.0	0.9354838709677419	0.975	0.9833851045678346
9	0.007454525533260084	0.10681464541703463	0.68	0.9521147616844053	0.7495060373216246	0.7024691358024692	0.7252257036643653	0.9832414239612223	0.7479507360740257	0.998215082552432	0.9951923076923077	0.9857142857142858	0.9904306220095693	0.9999179386180863	0.9992070481358826	blended_score	0.991539007938909	6496	270	1848	70	0.7145833333333333	0.5067567567567568	1.0	0.967741935483871	0.9873417721518988	0.991539007938909
10	0.006049924079264861	0.10427146106958389	0.39	0.9530402591392874	0.7532156093307173	0.7109053497942387	0.7314491372922621	0.983643538450142	0.752647906571565	0.998215082552432	0.9951923076923077	0.9857142857142858	0.9904306220095693	0.9999273170617337	0.9993020401452084	blended_score	0.991586503943572	6496	270	1848	70	0.7302083333333333	0.5135135135135135	1.0	0.967741935483871	0.9873417721518988	0.991586503943572
11	0.0031544182371969023	0.1026957156136632	0.02	0.9525034706154558	0.746031746031746	0.7156378600823046	0.7305187985717286	0.9827512190201886	0.7404511232185438	0.99776885319054	0.9812206572769953	0.9952380952380953	0.9881796690307328	0.9999413847272045	0.9994353285615629	blended_score	0.983588632022717	6496	270	1848	70	0.7104166666666667	0.47635135135135137	1.0	0.9354838709677419	0.975	0.983588632022717
12	0.0027961108674336333	0.11899251360446214	0.09	0.9528921795465063	0.7514664349337389	0.7117283950617284	0.7310578040790447	0.982810273124973	0.7370731578371845	0.998215082552432	0.9904761904761905	0.9904761904761905	0.9904761904761905	0.9999132493962627	0.9991336553429221	blended_score	0.9834377954133966	6496	270	1848	70	0.7072916666666667	0.4966216216216216	1.0	0.9354838709677419	0.975	0.9834377954133966
13	0.0019127740362070173	0.1341619291342795	0.04	0.9519851920407219	0.7511081560283688	0.6973251028806584	0.7232180964575331	0.9829679662712986	0.7359447857139183	0.99776885319054	0.985781990521327	0.9904761904761905	0.9881235154394299	0.9999015263417036	0.9990242886042016	blended_score	0.9833831120440363	6496	270	1848	70	0.6979166666666666	0.5	1.0	0.9354838709677419	0.975	0.9833831120440363
14	0.001295238303011466	0.11576256486587226	0.060000000000000005	0.951874132346136	0.7452256944444444	0.7065843621399177	0.7253907900295733	0.9828487490055113	0.7461146949008832	0.998215082552432	0.9904761904761905	0.9904761904761905	0.9904761904761905	0.9999343508944691	0.9993638186614078	blended_score	0.9835528770726394	6496	270	1848	70	0.684375	0.48761261261261263	1.0	0.9354838709677419	0.975	0.9835528770726394
