epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.4124545977980483	0.14315117597579957	0.47000000000000003	0.9708838500694124	0.7822428301562768	0.9372427983539094	0.852756716278199	0.9766545340101507	0.611655930021071	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999554523926755	0.9995766506813888	blended_score	0.9853135528014058	6496	270	1848	70	0.928125	0.44481981981981983	0.9743589743589743	0.967741935483871	0.9743589743589743	0.9853135528014058
2	0.07816111931906027	0.024827660620212556	0.37	0.9554650624710782	0.7484811664641555	0.7604938271604939	0.7544396815676668	0.9786343604867961	0.6411754712520192	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.734375	0.46734234234234234	1.0	1.0	1.0	1.0
3	0.02761567642400954	0.012952896021306514	0.32	0.9530957889865803	0.744327731092437	0.7290123456790123	0.7365904365904365	0.9807358964668815	0.6820316360842398	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.74375	0.4786036036036036	1.0	1.0	1.0	1.0
4	0.012733183655084348	0.005951452301815152	0.06999999999999999	0.9553354928273947	0.7504605936540429	0.754320987654321	0.7523858388917394	0.9813526154265952	0.6984015239620485	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7614583333333333	0.4617117117117117	1.0	1.0	1.0	1.0
5	0.005433616329979736	0.003732871846295893	0.05	0.9548172142526608	0.7499483364331473	0.7467078189300411	0.7483245695432519	0.9821300680207197	0.717040323391246	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7395833333333334	0.46396396396396394	1.0	1.0	1.0	1.0
6	0.00333945643939717	0.003043619613163173	0.08	0.9545025451180009	0.7489635157545605	0.7434156378600824	0.7461792647666253	0.9829903085226994	0.7395210681780313	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7322916666666667	0.47184684684684686	1.0	1.0	1.0	1.0
