epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.48258647702488244	0.6177249789237976	0.48000000000000004	0.9688477556686719	0.7462408928848241	0.9905349794238684	0.851206789850588	0.9810676988841219	0.6820091003379163	0.9812583668005355	0.8471074380165289	0.9761904761904762	0.9070796460176991	0.9925863402968278	0.8975058458521681	blended_score	0.8600432455067292	6496	270	1848	70	0.9916666666666667	0.28153153153153154	1.0	0.6451612903225806	0.8764044943820225	0.8600432455067292
2	0.4199838930485295	0.5538449585437775	0.47000000000000003	0.9687737158722813	0.7519453708114976	0.9742798353909465	0.8487944788025454	0.9830121443748459	0.7380855006354489	0.9839357429718876	0.8849557522123894	0.9523809523809523	0.9174311926605505	0.9946472532883168	0.9316492509906408	blended_score	0.9046170159006139	6496	270	1848	70	0.9822916666666667	0.3119369369369369	0.9487179487179487	0.8064516129032258	0.9024390243902439	0.9046170159006139
3	0.3818175358807339	0.49897676706314087	0.45	0.966941230911615	0.7493510707332901	0.9504115226337448	0.8379898403483309	0.9817556715670209	0.7190907564273213	0.9879518072289156	0.9103139013452914	0.9666666666666667	0.9376443418013857	0.9967105108907177	0.9582473609497497	blended_score	0.9259805870092008	6496	270	1848	70	0.9427083333333334	0.32094594594594594	0.9487179487179487	0.8387096774193549	0.9135802469135802	0.9259805870092008
4	0.34871816971138414	0.42766267657279966	0.4	0.9657195742711707	0.7521797451374916	0.9230452674897119	0.8288987435328898	0.9820990583903451	0.7173665363365909	0.9888442659526997	0.9262672811059908	0.9571428571428572	0.9414519906323185	0.9983634615835503	0.9763846643223384	blended_score	0.9302932420040145	6496	270	1848	70	0.9229166666666667	0.3524774774774775	0.8974358974358975	0.8709677419354839	0.8974358974358975	0.9302932420040145
5	0.3031175089817421	0.35267951488494875	0.37	0.9650717260527534	0.7541460078645922	0.9076131687242799	0.8237930712484826	0.9823707667010264	0.7233408311019973	0.9906291834002677	0.9315068493150684	0.9714285714285714	0.951048951048951	0.9987925253804132	0.9856249389902707	blended_score	0.9332591196192048	6496	270	1848	70	0.8958333333333334	0.38288288288288286	0.9230769230769231	0.8387096774193549	0.9	0.9332591196192048
6	0.2778792937888819	0.3591747939586639	0.38	0.9625543729754743	0.7465670085172953	0.8837448559670782	0.8093847168566852	0.9818794359633032	0.7252334763294588	0.9924141008478358	0.9530516431924883	0.9666666666666667	0.9598108747044918	0.999195798457246	0.99177502207921	blended_score	0.9379884208824504	6496	270	1848	70	0.8791666666666667	0.36036036036036034	0.8974358974358975	0.8709677419354839	0.8974358974358975	0.9379884208824504
7	0.23626178378860155	0.31977896094322206	0.35000000000000003	0.962572882924572	0.75	0.8759259259259259	0.8080865603644647	0.9833249861158716	0.748855223737022	0.9941990182954038	0.966824644549763	0.9714285714285714	0.9691211401425178	0.9992895828937187	0.9918378736841781	blended_score	0.9622133950720312	6496	270	1848	70	0.8729166666666667	0.38175675675675674	0.8974358974358975	0.967741935483871	0.9333333333333333	0.9622133950720312
8	0.2175358010857713	0.28878878951072695	0.36000000000000004	0.9621841739935215	0.7499556344276841	0.8695473251028807	0.8053358742258219	0.9827580156515036	0.7419011269721778	0.9955377063810799	0.9807692307692307	0.9714285714285714	0.9760765550239234	0.9993833673301916	0.9923215941006652	blended_score	0.970519771409307	6496	270	1848	70	0.8864583333333333	0.38400900900900903	0.8974358974358975	1.0	0.9459459459459459	0.970519771409307
9	0.19573387408665582	0.3065864682197571	0.3	0.9619435446552522	0.7502677615137451	0.8648148148148148	0.8034792582680176	0.9827466781673702	0.7361991685824401	0.9955377063810799	0.9807692307692307	0.9714285714285714	0.9760765550239234	0.9993177182246608	0.9909808135897296	blended_score	0.9617848650248069	6496	270	1848	70	0.8583333333333333	0.3952702702702703	0.8974358974358975	0.967741935483871	0.9333333333333333	0.9617848650248069
10	0.17746708074621126	0.2851210027933121	0.32	0.9595002313743637	0.7444200512257593	0.8372427983539095	0.7881076893279101	0.9824030758104794	0.7302886256064779	0.9950914770191879	0.9760765550239234	0.9714285714285714	0.9737470167064439	0.9993763334974561	0.9932168533115837	blended_score	0.9693131412959903	6496	270	1848	70	0.8354166666666667	0.38738738738738737	0.9230769230769231	0.967741935483871	0.9473684210526315	0.9693131412959903
11	0.17873791287488797	0.2560154855251312	0.31	0.9596853308653401	0.7460550458715597	0.8366255144032921	0.7887487875848691	0.983136959235697	0.7495945287062142	0.9955377063810799	0.9672897196261683	0.9857142857142858	0.9764150943396226	0.9995896930904316	0.9959677176899442	blended_score	0.9690343137663948	6496	270	1848	70	0.81875	0.38626126126126126	0.9487179487179487	0.9354838709677419	0.9487179487179487	0.9690343137663948
12	0.1674644653776697	0.2661023557186127	0.24000000000000002	0.9596668209162424	0.7427122940430925	0.8440329218106996	0.7901377251276125	0.9820301148521879	0.7297841288117561	0.9941990182954038	0.9539170506912442	0.9857142857142858	0.9695550351288056	0.999533422428548	0.9954786065205068	blended_score	0.9445962097945793	6496	270	1848	70	0.8520833333333333	0.3783783783783784	0.9487179487179487	0.8387096774193549	0.9135802469135802	0.9445962097945793
