split	threshold	accuracy	precision	recall	f1	roc_auc	pr_auc	distance_threshold	missing_pair_count	mean_distance	median_distance	candidate_pair_count	blocked_pair_count	blocking_pass_rate	positive_pair_count	positive_candidate_count	positive_pass_rate	negative_pair_count	negative_candidate_count	negative_pass_rate	tn	fp	fn	tp
train	0.7	0.9187413234613605	1.0	0.09670781893004116	0.17636022514071295	0.999104326198126	0.99382589131847	0.3	0	0.9582408697083149	1.0	6496	47529	0.12024062933826932	4860	4857	0.9993827160493827	49165	1639	0.03333672327875521	49165	0	4390	470
val	0.16500000000000004	0.9973226238286479	0.9857142857142858	0.9857142857142858	0.9857142857142858	0.9998733910107618	0.9987601845115723	0.835	0	0.9564346402895892	1.0	270	1971	0.12048192771084337	210	210	1.0	2031	60	0.029542097488921712	2028	3	3	207
test	0.16500000000000004	0.9864687909209952	0.9545454545454546	0.9090909090909091	0.9312638580931264	0.998888328499979	0.9906286528183808	0.835	0	0.952782969194128	1.0	303	1988	0.13225665648188564	231	231	1.0	2060	72	0.03495145631067961	2050	10	21	210
