split	threshold	accuracy	precision	recall	f1	roc_auc	pr_auc	distance_threshold	missing_pair_count	mean_distance	median_distance	candidate_pair_count	blocked_pair_count	blocking_pass_rate	positive_pair_count	positive_candidate_count	positive_pass_rate	negative_pair_count	negative_candidate_count	negative_pass_rate	tn	fp	fn	tp
train	0.7	0.9187413234613605	1.0	0.09670781893004116	0.17636022514071295	0.9977191484624505	0.9855205608143947	0.3	0	0.9379693542230078	0.9824778802348259	54025	0	1.0	4860	4860	1.0	49165	49165	1.0	49165	0	4390	470
val	0.19026325299484015	0.9910754127621597	0.9318181818181818	0.9761904761904762	0.9534883720930233	0.9986565379475276	0.9806355995888013	0.8097367470051599	0	0.9351322048609175	0.982262145905843	2241	0	1.0	210	210	1.0	2031	2031	1.0	2016	15	5	205
test	0.19026325299484015	0.9834133566128328	0.9406392694063926	0.8917748917748918	0.9155555555555556	0.9967889715462531	0.9778785812458297	0.8097367470051599	0	0.9328563064925414	0.9824440573753974	2291	0	1.0	231	231	1.0	2060	2060	1.0	2047	13	25	206
