epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.40093210529462964	0.14348747134208678	0.48000000000000004	0.9677741786210088	0.7818543285740105	0.8901234567901235	0.8324834022900028	0.9771063384027665	0.61558726806652	0.99776885319054	0.985781990521327	0.9904761904761905	0.9881235154394299	0.9999085601744391	0.999128601484951	blended_score	0.9786792717929305	6496	270	1848	70	0.8791666666666667	0.47297297297297297	0.9487179487179487	0.967741935483871	0.961038961038961	0.9786792717929305
2	0.07997089394313447	0.04137876257300377	0.5700000000000001	0.9531698287829709	0.7459881756756757	0.7269547325102881	0.736348478532722	0.9787578193694785	0.6420436014088537	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.6979166666666666	0.4831081081081081	1.0	1.0	1.0	1.0
3	0.0271820523776114	0.026159483939409256	0.37	0.951726052753355	0.7420464316423044	0.7102880658436214	0.7258200168208578	0.9806606522338692	0.6823625169392906	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.728125	0.481981981981982	1.0	1.0	1.0	1.0
4	0.013949447843319206	0.013870176719501614	0.32	0.9533364183248496	0.7503746521087562	0.7211934156378601	0.7354947015003672	0.9823051440538474	0.716498333055131	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7354166666666667	0.4797297297297297	1.0	1.0	1.0	1.0
5	0.006482627352370936	0.010850667441263794	0.39	0.9533734382230449	0.7502672653410306	0.7220164609053498	0.7358708189158016	0.9826075481110679	0.7257580639513064	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.71875	0.4797297297297297	1.0	1.0	1.0	1.0
6	0.003811886991766811	0.00824223756790161	0.26	0.9534104581212401	0.7493083634815918	0.724485596707819	0.7366879380688357	0.9821162843352296	0.7167816853147233	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7114583333333333	0.48761261261261263	1.0	1.0	1.0	1.0
