split	threshold	accuracy	precision	recall	f1	roc_auc	pr_auc	distance_threshold	missing_pair_count	mean_distance	median_distance	candidate_pair_count	blocked_pair_count	blocking_pass_rate	positive_pair_count	positive_candidate_count	positive_pass_rate	negative_pair_count	negative_candidate_count	negative_pass_rate	tn	fp	fn	tp
train	0.7	0.9190374826469228	1.0	0.1	0.18181818181818182	0.9993012108801345	0.9957154675573915	0.3	0	0.9521580857411615	1.0	6496	47529	0.12024062933826932	4860	4857	0.9993827160493827	49165	1639	0.03333672327875521	49165	0	4374	486
val	0.20499999999999996	0.99776885319054	0.9767441860465116	1.0	0.9882352941176471	0.9998898032871445	0.9989167306192663	0.795	0	0.9511832690072788	1.0	270	1971	0.12048192771084337	210	210	1.0	2031	60	0.029542097488921712	2026	5	0	210
test	0.20499999999999996	0.99257965953732	0.9692982456140351	0.9567099567099567	0.9629629629629629	0.9993569537258857	0.994481253568162	0.795	0	0.9458694723512049	1.0	303	1988	0.13225665648188564	231	231	1.0	2060	72	0.03495145631067961	2053	7	10	221
