epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count
1	0.2692778630583894	0.12773368656635284	0.15000000000000002	0.9739935215178158	0.7807573541361937	0.988477366255144	0.8724234995005902	0.9768315142718794	0.6125836186034168	0.9924141008478358	0.9406392694063926	0.9809523809523809	0.9603729603729604	0.9993411643337788	0.9935078063681031	pr_auc	0.9935078063681031	6496	270
2	0.11143461424930423	0.09986039996147156	0.09	0.9573160573808422	0.7444486983154671	0.8002057613168724	0.7713209044030147	0.9805256110376622	0.6811724558776014	0.9946452476572959	0.95	0.9952380952380953	0.9720930232558139	0.9995521793158426	0.9954953354441187	pr_auc	0.9954953354441187	6496	270
3	0.07967288430561037	0.10480410605669022	0.06999999999999999	0.9597593706617307	0.7563955708285606	0.8152263374485597	0.7847098435333729	0.9822549456583377	0.7191401276530581	0.9955377063810799	0.9587155963302753	0.9952380952380953	0.9766355140186916	0.9995967269231671	0.995898653138545	pr_auc	0.995898653138545	6496	270
4	0.059634580021249314	0.08327423706650734	0.05	0.9577232762609903	0.7458953799159985	0.8039094650205761	0.7738165973460092	0.9821334600587003	0.717066343697884	0.9955377063810799	0.9672897196261683	0.9857142857142858	0.9764150943396226	0.9997303697451408	0.9973397527149372	pr_auc	0.9973397527149372	6496	270
5	0.05013739059259202	0.12651550471782685	0.06999999999999999	0.9580379453956501	0.7532721234616137	0.7934156378600823	0.7728229281491131	0.9825338084279066	0.7259692687700079	0.9955377063810799	0.9629629629629629	0.9904761904761905	0.9765258215962441	0.9996154838104617	0.9961214569744516	pr_auc	0.9961214569744516	6496	270
6	0.03672602655840855	0.11683662161231041	0.060000000000000005	0.9569458583988893	0.7486263736263736	0.7849794238683128	0.7663720369626356	0.9823125328793316	0.7189404944528727	0.9959839357429718	0.971830985915493	0.9857142857142858	0.9787234042553191	0.9996154838104617	0.9960562215335493	pr_auc	0.9960562215335493	6496	270
7	0.02607036692857304	0.11028875038027763	0.060000000000000005	0.9573900971772328	0.754072308303536	0.7810699588477367	0.7673337376187589	0.9832646450873621	0.7364869559030407	0.9955377063810799	0.9672897196261683	0.9857142857142858	0.9764150943396226	0.9995943823122553	0.99573892346138	pr_auc	0.99573892346138	6496	270
8	0.019027709027332272	0.14277854096144438	0.08	0.9558537714021287	0.750252780586451	0.7633744855967078	0.7567567567567568	0.9826922025814643	0.7331029075907156	0.9959839357429718	0.9674418604651163	0.9904761904761905	0.9788235294117648	0.9995709362031371	0.9954961273125427	pr_auc	0.9954961273125427	6496	270
