reason	count
address_changed	1950
address_similarity_low	1949
overall_similarity_low	1944
full_name_similarity_low	1889
zip_changed	1836
same_sex	1503
last_name_differs	1266
same_first_name	1230
same_last_name	466
sex_changed	135
