split	threshold	accuracy	precision	recall	f1	roc_auc	pr_auc	distance_threshold	missing_pair_count	mean_distance	median_distance	candidate_pair_count	blocked_pair_count	blocking_pass_rate	positive_pair_count	positive_candidate_count	positive_pass_rate	negative_pair_count	negative_candidate_count	negative_pass_rate	tn	fp	fn	tp
train	0.7	0.9190374826469228	1.0	0.1	0.18181818181818182	0.9963556998584174	0.9779179404175822	0.3	0	0.879849974623682	0.9179015130020851	54025	0	1.0	4860	4860	1.0	49165	49165	1.0	49165	0	4374	486
val	0.2687252576868482	0.9897367246764837	0.9348837209302325	0.9571428571428572	0.9458823529411765	0.9981923049869874	0.9788635577775797	0.7312747423131518	0	0.8792272910532551	0.9185146110306603	2241	0	1.0	210	210	1.0	2031	2031	1.0	2017	14	9	201
test	0.2687252576868482	0.9838498472282846	0.944954128440367	0.8917748917748918	0.9175946547884187	0.9956226621275165	0.9742110531849765	0.7312747423131518	0	0.8756948143593376	0.9176808608557971	2291	0	1.0	231	231	1.0	2060	2060	1.0	2048	12	25	206
