epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate
1	0.5979984893518335	0.46958876848220826	0.56	0.9424710782045349	0.6944074567243675	0.6438271604938272	0.6681614349775785	0.9757498622049963	0.6153491007867528	0.9875055778670236	0.9136363636363637	0.9571428571428572	0.9348837209302325	0.9967011324470704	0.9567170139349432	pr_auc	0.9567170139349432	6496	270	1848	70	0.6729166666666667	0.3997747747747748	0.9487179487179487	0.6129032258064516
2	0.3200632774946736	0.17852061688899995	0.34	0.962369273484498	0.7579850337652856	0.8545267489711934	0.8033658961214818	0.9787197787411919	0.6447806084816412	0.9946452476572959	0.9626168224299065	0.9809523809523809	0.9716981132075472	0.9996623760286981	0.9966035826808317	pr_auc	0.9966035826808317	6496	270	1848	70	0.85625	0.41103603603603606	0.9743589743589743	0.7741935483870968
3	0.12117804243576293	0.0849350556731224	0.34	0.956760758907913	0.753923541247485	0.7709876543209877	0.7623601220752798	0.9803547431404873	0.6683823342230134	0.99776885319054	0.9812206572769953	0.9952380952380953	0.9881796690307328	0.9999413847272046	0.9994395002152746	pr_auc	0.9994395002152746	6496	270	1848	70	0.7833333333333333	0.45382882882882886	1.0	0.9354838709677419
4	0.06302551430303092	0.05955748036503792	0.5	0.9543729754743174	0.7461459403905447	0.7469135802469136	0.7465295629820051	0.9832607236319789	0.7533819070058884	0.998215082552432	0.9951923076923077	0.9857142857142858	0.9904306220095693	0.9999531077817636	0.9995583702518871	pr_auc	0.9995583702518871	6496	270	1848	70	0.7604166666666666	0.45495495495495497	1.0	0.967741935483871
5	0.04060942623033827	0.0653564091771841	0.55	0.955576122165664	0.7539223781998349	0.751440329218107	0.752679307502061	0.9816994068432535	0.7010677750907676	0.99776885319054	0.9951690821256038	0.9809523809523809	0.988009592326139	0.9999085601744391	0.9991118963792315	pr_auc	0.9991118963792315	6496	270	1848	70	0.7583333333333333	0.4752252252252252	0.9743589743589743	1.0
6	0.02213609362861105	0.0520668170414865	0.31	0.9554465525219805	0.7516930022573364	0.7537037037037037	0.7526970101715812	0.9825512959426538	0.7251605931569434	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999343508944691	0.9993610785324465	pr_auc	0.9993610785324465	6496	270	1848	70	0.75625	0.45045045045045046	1.0	0.9354838709677419
7	0.014433933759802113	0.04454332273453474	0.31	0.9542434058306339	0.7455779514603044	0.7458847736625515	0.7457313310018515	0.981820375580842	0.7165497754282992	0.998215082552432	0.9951923076923077	0.9857142857142858	0.9904306220095693	0.9999484185599401	0.9995120340923787	pr_auc	0.9995120340923787	6496	270	1848	70	0.7302083333333333	0.4650900900900901	1.0	0.967741935483871
8	0.009275208213640487	0.03831184301525355	0.26	0.9546876446089774	0.7482503087690408	0.7479423868312757	0.7480963161144268	0.9824001671536049	0.7322391016852166	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999648308363227	0.9996636204296818	pr_auc	0.9996636204296818	6496	270	1848	70	0.7375	0.45495495495495497	1.0	0.9354838709677419
9	0.005899644814039051	0.03842837200500071	0.2	0.9539287366959741	0.7441812564366632	0.7434156378600824	0.743798250128667	0.982400449649057	0.7312344538584457	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999601416144992	0.9996196110372004	pr_auc	0.9996196110372004	6496	270	1848	70	0.7270833333333333	0.4583333333333333	1.0	0.9354838709677419
10	0.003995156617533854	0.041276008193381133	0.21000000000000002	0.9548172142526608	0.7490220300597077	0.748559670781893	0.748790779047031	0.98299400607428	0.7418504052870507	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999601416144991	0.999621146763355	pr_auc	0.999621146763355	6496	270	1848	70	0.721875	0.45157657657657657	1.0	0.9354838709677419
11	0.003127471656269193	0.041977509809657934	0.33	0.9550023137436372	0.7503607503607503	0.7489711934156379	0.749665327978581	0.9825774926875527	0.7328205745580898	0.998215082552432	0.9858490566037735	0.9952380952380953	0.990521327014218	0.9999531077817636	0.9995554002753002	pr_auc	0.9995554002753002	6496	270	1848	70	0.75	0.46396396396396394	1.0	0.9354838709677419
12	0.0024778978840913624	0.045282378979027274	0.6900000000000001	0.9538917167977788	0.7440758293838863	0.7430041152263375	0.7435395861216926	0.9820557445136242	0.7252635527179796	0.998215082552432	0.9904761904761905	0.9904761904761905	0.9904761904761905	0.99994841855994	0.9995065380577492	pr_auc	0.9995065380577492	6496	270	1848	70	0.7552083333333334	0.4527027027027027	1.0	0.967741935483871
