mode	hard_positive_weight_scale	hard_negative_weight_scale	monitor_metric	best_epoch	best_monitor_value	test_f1	test_pr_auc	test_precision	test_recall	hard_subset_f1	easy_subset_f1	hard_positive_recall	hard_negative_rejection_rate	run_dir
both	0.5	0.75	blended_score	6	0.9998781102454581	0.9956709956709957	0.9999248745131142	0.9956709956709957	0.9956709956709957	0.9836065573770492	1.0	0.9836065573770492	0.9782608695652174	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.50_neg0.75_blended_score
both	0.5	0.25	blended_score	15	0.993533640780153	0.9847494553376906	0.9994145106841671	0.9912280701754386	0.9783549783549783	0.975609756097561	0.9880952380952381	0.9836065573770492	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.50_neg0.25_blended_score
both	0.75	1.0	blended_score	7	0.9998228974982404	0.9828326180257511	0.9983905890114406	0.9744680851063829	0.9913419913419913	0.975609756097561	0.9854227405247813	0.9836065573770492	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.75_neg1.00_blended_score
both	1.0	1.0	blended_score	13	0.9915679977666751	0.9848812095032398	0.9990181068350463	0.9827586206896551	0.987012987012987	0.9752066115702479	0.9883040935672515	0.9672131147540983	0.9782608695652174	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos1.00_neg1.00_blended_score
both	0.5	1.0	blended_score	10	0.991586503943572	0.9891540130151844	0.9991504751451228	0.991304347826087	0.987012987012987	0.9672131147540983	0.9970501474926253	0.9672131147540983	0.9565217391304348	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.50_neg1.00_blended_score
both	1.0	0.5	blended_score	7	0.9994904749232272	0.9710467706013363	0.9985381692170673	1.0	0.9437229437229437	0.9661016949152542	0.972809667673716	0.9344262295081968	1.0	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos1.00_neg0.50_blended_score
both	0.5	0.5	blended_score	15	0.9850241119058089	0.9848156182212582	0.997066895560597	0.9869565217391304	0.9826839826839827	0.959349593495935	0.9940828402366864	0.9672131147540983	0.9347826086956522	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.50_neg0.50_blended_score
both	0.75	0.75	blended_score	9	0.9832504439850068	0.9803921568627451	0.998852475733942	0.9868421052631579	0.974025974025974	0.9491525423728814	0.9912023460410557	0.9180327868852459	0.9782608695652174	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.75_neg0.75_blended_score
both	1.0	0.75	blended_score	7	0.9835547564895417	0.9722814498933902	0.9986675430959748	0.957983193277311	0.987012987012987	0.944	0.9825581395348837	0.9672131147540983	0.8913043478260869	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos1.00_neg0.75_blended_score
both	0.75	0.5	blended_score	5	0.993258409850067	0.9667405764966741	0.9980688746553104	0.990909090909091	0.9437229437229437	0.9310344827586207	0.9791044776119403	0.8852459016393442	0.9782608695652174	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.75_neg0.50_blended_score
both	1.0	0.25	blended_score	8	0.9915982893613224	0.9634408602150538	0.9953705487035125	0.9572649572649573	0.9696969696969697	0.9180327868852459	0.9795918367346939	0.9180327868852459	0.8913043478260869	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos1.00_neg0.25_blended_score
both	0.75	0.25	blended_score	6	0.9768673907208045	0.9613733905579399	0.9935526280733181	0.9531914893617022	0.9696969696969697	0.8888888888888888	0.9882352941176471	0.9180327868852459	0.8043478260869565	models\experiments\hard_weight_tuning_extended_midl_bilstm_blended\both_pos0.75_neg0.25_blended_score
