mode	hard_positive_weight_scale	hard_negative_weight_scale	monitor_metric	best_epoch	best_monitor_value	test_f1	test_pr_auc	test_precision	test_recall	hard_subset_f1	easy_subset_f1	hard_positive_recall	hard_negative_rejection_rate	run_dir
both	1.0	1.0	blended_score	10	0.9943776719881027	0.9766454352441614	0.9946080461044474	0.9583333333333334	0.9956709956709957	0.9682539682539683	0.9797101449275363	1.0	0.9130434782608695	models\experiments\hard_weight_tuning_charcnn_blended\both_pos1.00_neg1.00_blended_score
both	0.5	1.0	blended_score	15	0.9908349655699464	0.9743589743589743	0.9982265464353828	0.9620253164556962	0.987012987012987	0.9606299212598425	0.9794721407624634	1.0	0.8913043478260869	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.50_neg1.00_blended_score
both	1.0	0.5	blended_score	15	0.9576297863809938	0.9681528662420382	0.9940192077487908	0.95	0.987012987012987	0.9523809523809523	0.9739130434782609	0.9836065573770492	0.8913043478260869	models\experiments\hard_weight_tuning_charcnn_blended\both_pos1.00_neg0.50_blended_score
both	0.25	0.5	blended_score	8	0.9852660637814472	0.9702127659574468	0.9940263068734827	0.9539748953974896	0.987012987012987	0.9448818897637795	0.9795918367346939	0.9836065573770492	0.8695652173913043	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.25_neg0.50_blended_score
both	0.5	0.5	blended_score	11	0.9743009782936884	0.9662447257383966	0.9959986183553164	0.9423868312757202	0.9913419913419913	0.9384615384615385	0.9767441860465116	1.0	0.8260869565217391	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.50_neg0.50_blended_score
both	0.5	0.25	blended_score	7	0.9440687943711454	0.9681528662420382	0.9922337110126092	0.95	0.987012987012987	0.928	0.9826589595375722	0.9508196721311475	0.8695652173913043	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.50_neg0.25_blended_score
both	1.0	0.25	blended_score	8	0.970519771409307	0.9617021276595744	0.992072990518065	0.9456066945606695	0.9783549783549783	0.926829268292683	0.9740634005763689	0.9344262295081968	0.8913043478260869	models\experiments\hard_weight_tuning_charcnn_blended\both_pos1.00_neg0.25_blended_score
both	0.25	1.0	blended_score	3	0.9741698546819332	0.9576271186440678	0.9914614464849714	0.9377593360995851	0.9783549783549783	0.9133858267716536	0.9739130434782609	0.9508196721311475	0.8260869565217391	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.25_neg1.00_blended_score
both	0.25	0.25	blended_score	6	0.9720274414615958	0.9629629629629629	0.993948763023051	0.9692982456140351	0.9567099567099567	0.907563025210084	0.9823529411764705	0.8852459016393442	0.9130434782608695	models\experiments\hard_weight_tuning_charcnn_blended\both_pos0.25_neg0.25_blended_score
