epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.4058825015729549	0.17384015619754792	0.53	0.9599814900509024	0.755977229601518	0.8197530864197531	0.7865745310957551	0.9757715787812853	0.6040266073164079	0.9973226238286479	0.9811320754716981	0.9904761904761905	0.985781990521327	0.9998780802325854	0.9988688258144948	blended_score	0.9768951242389264	6496	270	1848	70	0.8114583333333333	0.4358108108108108	0.9743589743589743	0.9354838709677419	0.9620253164556962	0.9768951242389264
2	0.09635899721772648	0.03299041166901588	0.44	0.9565201295696437	0.7498507462686567	0.7753086419753087	0.7623672230652504	0.9788285436752616	0.6444305361191489	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7572916666666667	0.46283783783783783	1.0	1.0	1.0	1.0
3	0.03491470056549445	0.018827296886593105	0.42000000000000004	0.9538732068486812	0.7451345755693581	0.7405349794238684	0.742827657378741	0.9806136303427736	0.6768958810465995	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7541666666666667	0.4752252252252252	1.0	1.0	1.0	1.0
4	0.013600197721126616	0.009261460602283477	0.41000000000000003	0.9548172142526608	0.7494328727572696	0.7477366255144033	0.7485837882377175	0.9819515560058742	0.7108858575004564	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7625	0.4617117117117117	1.0	1.0	1.0	1.0
5	0.0074572110681009355	0.006631066324189305	0.43	0.9548172142526608	0.7498450733319562	0.7469135802469136	0.7483764560354602	0.9824267928730791	0.7160680721093475	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.740625	0.46846846846846846	1.0	1.0	1.0	1.0
6	0.004413874039207311	0.006504043424502015	0.25	0.954706154558075	0.7477921544464983	0.7491769547325103	0.7484839140713331	0.9823821502214554	0.7269949692505335	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.734375	0.46283783783783783	1.0	1.0	1.0	1.0
