epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count
1	0.2199033396390195	0.050530566523472466	0.92	0.8362609902822767	0.0	0.0	0.0	0.8946293638746492	0.2934635547182606	0.9924141008478358	0.9406392694063926	0.9809523809523809	0.9603729603729604	0.9986752948348222	0.9858899941370347	pr_auc	0.9858899941370347	54025	2241
2	0.0718651812706837	0.03848753747944203	0.81	0.8303933364183248	0.08838722020279319	0.09506172839506173	0.0916030534351145	0.41673427305968525	0.07573299519730504	0.9946452476572959	0.9669811320754716	0.9761904761904762	0.9715639810426541	0.9995545239267544	0.9955019781595229	pr_auc	0.9955019781595229	54025	2241
3	0.05492275982348458	0.03141928055427141	0.8400000000000001	0.8322073114298936	0.0850601934083284	0.08868312757201646	0.08683388737785837	0.46569748754822826	0.08125213695427028	0.9955377063810799	0.9629629629629629	0.9904761904761905	0.9765258215962441	0.9993904011629271	0.99356528523489	pr_auc	0.99356528523489	54025	2241
4	0.04480524371149426	0.03180673806410697	0.68	0.8315409532623785	0.09087401119043026	0.09691358024691359	0.09379667430050781	0.42359693716338576	0.07755629947874498	0.9959839357429718	0.9631336405529954	0.9952380952380953	0.9789227166276346	0.9995099763194298	0.9948970306051746	pr_auc	0.9948970306051746	54025	2241
5	0.036530700095821746	0.024982332872847717	0.5800000000000001	0.8316890328551596	0.09148812970469021	0.09753086419753086	0.09441290708096803	0.5822236681804238	0.10442061480415434	0.9964301651048639	0.9675925925925926	0.9952380952380953	0.9812206572769953	0.9997655389088181	0.9976578887724412	pr_auc	0.9976578887724412	54025	2241
6	0.03247593372499504	0.021634393371641636	0.13	0.8273206848681166	0.08780667773473529	0.09794238683127572	0.0925979963038615	0.543923252891184	0.09499456235372794	0.9964301651048639	0.963302752293578	1.0	0.9813084112149533	0.9997186466905817	0.9971963635275667	pr_auc	0.9971963635275667	54025	2241
7	0.024237936912824335	0.02560707988838355	0.08	0.8286534012031467	0.09384814335858119	0.10452674897119342	0.09890002920276453	0.5135836473217967	0.09095484002276029	0.9959839357429718	0.958904109589041	1.0	0.9790209790209791	0.9996225176431971	0.9962785943583021	pr_auc	0.9962785943583021	54025	2241
8	0.023883592741189872	0.023823728681438498	0.39	0.8314854234150856	0.08828094683740784	0.09362139917695474	0.09087277811064509	0.47289070062638655	0.08623450355182813	0.9964301651048639	0.963302752293578	1.0	0.9813084112149533	0.9994677733230171	0.9943417843386273	pr_auc	0.9943417843386273	54025	2241
9	0.02108385877297315	0.026602752248032227	0.2	0.8306524757056918	0.09191246431969553	0.09938271604938272	0.09550173010380623	0.5538548387704292	0.09948675089872165	0.9959839357429718	0.958904109589041	1.0	0.9790209790209791	0.9995967269231671	0.9958189477618016	pr_auc	0.9958189477618016	54025	2241
