epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count
1	0.2713017693775542	0.12962827533483506	0.19	0.9724571957427117	0.7795092838196287	0.9674897119341563	0.8633859713551231	0.9773526032897537	0.6171053915848199	0.9941990182954038	0.958139534883721	0.9809523809523809	0.9694117647058823	0.9992567583409534	0.9909217060525994	pr_auc	0.9909217060525994	6496	270
2	0.09759977500082231	0.058790774643421174	0.14	0.9560573808422027	0.7446850393700788	0.778395061728395	0.7611670020120724	0.9798791672787402	0.6698417570326103	0.9964301651048639	0.9764150943396226	0.9857142857142858	0.981042654028436	0.9998640125671145	0.9986927715933976	pr_auc	0.9986927715933976	6496	270
3	0.04056959387426283	0.03289472535252571	0.11	0.957223507635354	0.7550530318190914	0.7763374485596708	0.7655473267728518	0.9813535152269232	0.6951494156524286	0.998215082552432	0.9813084112149533	1.0	0.9905660377358491	0.99997420927997	0.9997526870490689	pr_auc	0.9997526870490689	6496	270
4	0.019904104317081908	0.023481515049934388	0.19	0.9543174456270245	0.7456861133935908	0.7469135802469136	0.7462993421052632	0.9817683169004683	0.7124825451355585	0.9991075412762159	0.9952380952380953	0.9952380952380953	0.9952380952380953	0.9999882769454409	0.9998892580287929	pr_auc	0.9998892580287929	6496	270
5	0.011706940973561038	0.012482094950973988	0.13	0.9554650624710782	0.7514344262295082	0.7545267489711934	0.7529774127310062	0.9820398326957305	0.7182435412590633	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999953107781764	0.9999547559940247	pr_auc	0.9999547559940247	6496	270
6	0.006911749167449991	0.011641457583755255	0.09999999999999999	0.9548542341508561	0.7487158413807273	0.7497942386831276	0.7492546519995887	0.9822975376022371	0.7193880128264107	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999953107781764	0.9999547559940247	pr_auc	0.9999547559940247	6496	270
7	0.004424145622133259	0.010522694746032357	0.05	0.9560758907913003	0.754346492125179	0.7588477366255144	0.7565904195302082	0.9836649118467711	0.749944427820698	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999929661672645	0.9999319717607141	pr_auc	0.9999319717607141	6496	270
8	0.002903095214267024	0.007334876433014869	0.06999999999999999	0.954909763998149	0.7491776315789473	0.7497942386831276	0.7494858083093378	0.9819025608317336	0.7119956492806014	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999976553890881	0.9999774317309862	pr_auc	0.9999774317309862	6496	270
9	0.0018724678361025987	0.00821448394563049	0.17	0.9546691346598797	0.7483007209062822	0.7475308641975309	0.7479155944415852	0.9826275132155556	0.735649098397946	1.0	1.0	1.0	1.0	1.0	0.9999999999999998	pr_auc	0.9999999999999998	6496	270
10	0.0014869594252006353	0.00694411761360243	0.05	0.9550763535400277	0.7503601564107841	0.7502057613168724	0.7502829509208766	0.983062610617895	0.7432927751554202	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999976553890881	0.9999774317309862	pr_auc	0.9999774317309862	6496	270
11	0.00116825797201326	0.009800144901964814	0.06999999999999999	0.9536140675613142	0.7422807739810622	0.7419753086419754	0.7421280098785759	0.9823234937028625	0.7327057039109113	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999882769454409	0.99988607361699	pr_auc	0.99988607361699	6496	270
12	0.0009028810827123165	0.008002308971481398	0.04	0.9553910226746877	0.7518503289473685	0.7524691358024691	0.7521596051007816	0.9826283983679716	0.7327424632307356	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999906215563528	0.9999090779878205	pr_auc	0.9999090779878205	6496	270
13	0.0006094352555045785	0.010635064856614918	0.060000000000000005	0.9543729754743174	0.7465513691579164	0.7460905349794239	0.7463208809303283	0.98238820399436	0.7259693786831243	0.999553770638108	0.995260663507109	1.0	0.997624703087886	0.9999859323345291	0.9998629575744564	pr_auc	0.9998629575744564	6496	270
