epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count
1	0.3095128682314181	0.27555387616157534	0.32	0.96792225821379	0.768135825758875	0.921604938271605	0.8379010382564774	0.9806600558545822	0.67352560316148	0.9861668897813476	0.9162790697674419	0.9380952380952381	0.9270588235294117	0.9972216360694943	0.9679477786394752	pr_auc	0.9679477786394752	6496	270
2	0.2571776807308197	0.24251567721366882	0.22	0.9636279500231374	0.7528384279475983	0.8868312757201646	0.8143599433160132	0.9827506017153124	0.7273251218768986	0.9910754127621597	0.9481132075471698	0.9571428571428572	0.95260663507109	0.9992215891772761	0.9925503377453768	pr_auc	0.9925503377453768	6496	270
3	0.22330350531082527	0.23279085606336594	0.2	0.960869967607589	0.7505474452554745	0.8462962962962963	0.7955512572533849	0.982418435192823	0.7309578910627212	0.9933065595716198	0.9850746268656716	0.9428571428571428	0.9635036496350365	0.9994794963775762	0.9949206371921557	pr_auc	0.9949206371921557	6496	270
4	0.18773047618714034	0.22794341444969177	0.15000000000000002	0.9624433132808885	0.7539013452914798	0.8648148148148148	0.8055582175371346	0.9830047660121561	0.7414143049108011	0.9928603302097277	0.9801980198019802	0.9428571428571428	0.9611650485436893	0.9993904011629271	0.9942153418184432	pr_auc	0.9942153418184432	6496	270
5	0.16873649661155307	0.21341516077518463	0.12	0.961591855622397	0.75049469329016	0.8584362139917695	0.8008446108071792	0.9826471937320326	0.7320494768430708	0.9950914770191879	0.9760765550239234	0.9714285714285714	0.9737470167064439	0.9996389299195799	0.9964877397848655	pr_auc	0.9964877397848655	6496	270
6	0.15204580179324337	0.21589898690581322	0.09999999999999999	0.960869967607589	0.7466762486525332	0.8551440329218107	0.7972376750431613	0.9818126205575498	0.7231945069291456	0.9959839357429718	0.976303317535545	0.9809523809523809	0.9786223277909739	0.9997420927996999	0.9974437584661976	pr_auc	0.9974437584661976	6496	270
7	0.14873136145373186	0.17849755436182022	0.12	0.9592410920869968	0.745474695234577	0.8304526748971194	0.7856725715398092	0.9833166493612046	0.7512000248574888	0.9950914770191879	0.9760765550239234	0.9714285714285714	0.9737470167064439	0.9997420927996999	0.9974565086050738	pr_auc	0.9974565086050738	6496	270
8	0.12511606967332317	0.16588820070028304	0.13	0.9587783433595558	0.747508930250047	0.8181069958847736	0.7812162294920916	0.9824575785996511	0.7339316589564886	0.9955377063810799	0.9901960784313726	0.9619047619047619	0.9758454106280193	0.9996084499777262	0.9960092732871013	pr_auc	0.9960092732871013	6496	270
9	0.11586736927868105	0.14545054435729982	0.08	0.9609810273021749	0.752014652014652	0.8448559670781893	0.7957364341085271	0.9827901720041565	0.7367579240895823	0.99776885319054	0.9812206572769953	0.9952380952380953	0.9881796690307328	0.9998100865161427	0.9979633621684953	pr_auc	0.9979633621684953	6496	270
10	0.1170606569332235	0.13904256224632264	0.13	0.9565756594169366	0.7417307692307692	0.7936213991769547	0.7667992047713718	0.9830075093568771	0.7565506929326431	0.9955377063810799	0.9807692307692307	0.9714285714285714	0.9760765550239234	0.9996858221378162	0.9969643616686068	pr_auc	0.9969643616686068	6496	270
11	0.09846769937989759	0.15212922282516955	0.060000000000000005	0.9602776492364646	0.7476277372262774	0.8430041152263374	0.7924564796905222	0.9826627602777075	0.7400941276968529	0.9973226238286479	0.9857142857142858	0.9857142857142858	0.9857142857142858	0.9997772619633772	0.9976623213697347	pr_auc	0.9976623213697347	6496	270
12	0.0989977616962849	0.11964783668518067	0.09	0.9573345673299398	0.7431018078020932	0.8034979423868313	0.7721206129510628	0.9824233820020682	0.7330956728074478	0.9959839357429718	0.976303317535545	0.9809523809523809	0.9786223277909739	0.9997467820215236	0.997481414531425	pr_auc	0.997481414531425	6496	270
13	0.0840752567986355	0.13201172947883605	0.060000000000000005	0.9595002313743637	0.7486969471332837	0.8275720164609054	0.7861610633307271	0.9827615123174294	0.7375146011789115	0.9968763944667559	0.9856459330143541	0.9809523809523809	0.9832935560859188	0.9997842957961127	0.997801933718901	pr_auc	0.997801933718901	6496	270
