epoch	train_loss	val_loss	threshold	train_accuracy	train_precision	train_recall	train_f1	train_roc_auc	train_pr_auc	val_accuracy	val_precision	val_recall	val_f1	val_roc_auc	val_pr_auc	monitor_metric	monitor_value	train_candidate_count	val_candidate_count	train_hard_example_count	val_hard_example_count	train_hard_positive_recall	train_hard_negative_rejection_rate	val_hard_positive_recall	val_hard_negative_rejection_rate	val_hard_subset_f1	blended_score
1	0.41944391762509065	0.20379358828067778	0.48000000000000004	0.9714946783896344	0.7808798646362098	0.9495884773662552	0.8570102135561746	0.976434907397991	0.6100609671840393	0.9964301651048639	0.963302752293578	1.0	0.9813084112149533	0.99989683711988	0.9990172887782406	blended_score	0.9672505798729913	6496	270	1848	70	0.940625	0.43018018018018017	1.0	0.8709677419354839	0.9512195121951219	0.9672505798729913
2	0.09497130989078797	0.04318347983062267	0.41000000000000003	0.9565941693660343	0.7513491904857086	0.7734567901234568	0.7622427253371186	0.9786640790083279	0.6415615797185341	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7510416666666667	0.46734234234234234	1.0	1.0	1.0	1.0
3	0.03134936235352036	0.017534746695309876	0.38	0.9538546968995836	0.7465111435117684	0.7374485596707819	0.7419521788634716	0.9808238027738123	0.6797018182214098	1.0	1.0	1.0	1.0	1.0	1.0	blended_score	1.0	6496	270	1848	70	0.7479166666666667	0.48085585585585583	1.0	1.0	1.0	1.0
4	0.011449865671559511	0.008312785089947284	0.23	0.9549282739472467	0.750775594622544	0.7469135802469136	0.7488396080453842	0.9820649120141758	0.7081400100129217	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	blended_score	1.0	6496	270	1848	70	0.759375	0.46621621621621623	1.0	1.0	1.0	1.0
5	0.005732493336408344	0.00457478913012892	0.17	0.9545210550670986	0.7492221530802738	0.7432098765432099	0.7462039045553145	0.9821038587204672	0.7142637734511942	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	blended_score	1.0	6496	270	1848	70	0.7354166666666667	0.46846846846846846	1.0	1.0	1.0	1.0
6	0.003657169390684359	0.0027405282482504843	0.16	0.9545210550670986	0.7478852898700227	0.7458847736625515	0.7468836921809003	0.9821781801350036	0.7207255561828441	1.0	1.0	1.0	1.0	1.0	0.9999999999999999	blended_score	1.0	6496	270	1848	70	0.7322916666666667	0.4650900900900901	1.0	1.0	1.0	1.0
